GSM3316600	GSM3316601	GSM3316602	GSM3316603	GSM3316604	GSM3316605	GSM3316606	GSM3316607	GSM3316608	GSM3316609	GSM3316610	GSM3316611
0610005C13Rik	1.36087167385089	1.31433508049621	1.69181748934394	1.37203345826586	1.68359632500987	1.61249052786804	1.09590657207978	1.22012848413798	1.06436257897472	1.01953702331427	1.21233363746787	1.13151170576172
0610007P14Rik	1.15036317117099	1.13051986687729	1.24278356330515	1.19098299947911	1.24425705972591	1.23432039244095	1.17688206285155	1.18234173119407	1.18765324006209	1.12094930659701	1.23824147432992	1.09736707421155
0610009B22Rik	1.15308064658537	1.16769234605208	1.23291670964823	1.21438976494266	1.15828970172436	1.25478686536883	1.12671238786833	1.15429207297053	1.20043040489398	1.08600719974315	1.11275351938141	1.04225033259803
0610009L18Rik	0.546660788532542	0.626687684070821	0.643881856196035	0.785387602728812	0.63580776300093	0.679034573866765	0.577257532281162	0.62859005371596	0.770161201547075	0.555169465727887	0.657635487419059	0.604061004873507
0610009O20Rik	1.50055153029055	1.50369734412676	1.4872517586769	1.49887635617128	1.46566110005943	1.49422273745281	1.43913399982238	1.43737399586512	1.43677557759441	1.46783899220486	1.44906879684188	1.45589926685302
0610010B08Rik	0	0	0	0	0	0	0	0	0	0	0	0
0610010F05Rik	0.809993748856771	0.805494348744721	0.782638519356993	0.7808813511478	0.769410431693157	0.826312545397716	0.791382502102052	0.857612577120431	0.868483194678734	0.824842051930625	0.810091616680821	0.860863048041944
0610010K14Rik	1.56018001559822	1.50029064041405	1.49958785496752	1.56122970093603	1.50436898188977	1.50551798527092	1.50347194785424	1.49940397962432	1.52424794947557	1.52223966930799	1.54625905008577	1.47597585603604
0610011F06Rik	1.73096032534405	1.71103170291182	2.0668918091187	1.79375446018169	1.98369322060042	1.95322467034753	1.61240578945694	1.6923068100507	1.63758907840159	1.49970274720005	1.66677631769789	1.58952101484714
0610012G03Rik	1.33668650642533	1.34674025808247	1.40000351867067	1.33237622623633	1.38350471402002	1.34907112244147	1.32615839922958	1.3636722861043	1.36253432999757	1.2766782054617	1.28128579472779	1.26309540531484
0610030E20Rik	0.998075846787104	1.03215471931157	0.944326024759484	1.01198773319244	1.06166291422382	1.02387737850363	0.950182295927137	0.973336839595043	1.06512214974133	1.08153985909361	1.02316255633952	1.02126603467174
